,From,To,Capacity,Length,FreeFlowTime,B,Power,SpeedLimit,CriticalSpeed,Lanes
0,1,1371,900.0,0.3,0.327,0.282,4.0,55,42.9,2
1,2,2012,1600.0,0.26,0.173,0.282,4.0,90,70.2,2
2,3,2402,1100.0,0.2,0.2,0.282,4.0,60,46.8,2
3,4,1875,800.0,0.16,0.128,0.282,4.0,75,58.5,1
4,5,1880,800.0,0.2,0.171,0.282,4.0,70,54.6,1
5,6,1894,800.0,0.25,0.231,0.282,4.0,65,50.7,1
6,7,1970,800.0,0.52,0.48,0.282,4.0,65,50.7,1
7,8,1977,600.0,0.33,0.44,0.667,4.0,45,27.0,1
8,9,3448,600.0,0.31,0.338,0.667,4.0,55,33.0,1
9,10,2012,1600.0,0.26,0.173,0.282,4.0,90,70.2,2
10,11,2867,600.0,0.45,0.491,0.667,4.0,55,33.0,5
11,12,3627,400.0,0.18,0.27,0.667,4.0,40,24.0,1
12,13,3499,1800.0,0.49,0.267,0.225,4.0,110,89.8,4
13,14,3499,1800.0,0.49,0.267,0.225,4.0,110,89.8,4
14,15,3441,700.0,0.15,0.164,0.667,4.0,55,33.0,2
15,16,3576,800.0,0.36,0.36,0.282,4.0,60,46.8,1
16,17,3839,400.0,1.16,2.32,0.667,4.0,30,18.0,1
17,18,2452,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
18,19,2795,1800.0,0.44,1.1,0.0,4.0,24,24.0,5
19,20,2166,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
20,21,3843,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
21,22,3309,1800.0,0.28,0.7,0.0,4.0,24,24.0,5
22,23,3350,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
23,24,3728,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
24,25,3419,1800.0,0.35,0.875,0.0,4.0,24,24.0,5
25,25,3718,1800.0,0.36,0.9,0.0,4.0,24,24.0,5
26,26,4769,1800.0,0.35,0.875,0.0,4.0,24,24.0,5
27,27,3885,1800.0,0.08,0.2,0.0,4.0,24,24.0,5
28,28,3710,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
29,29,2791,1800.0,0.45,1.125,0.0,4.0,24,24.0,5
30,30,3730,1800.0,0.48,1.2,0.0,4.0,24,24.0,5
31,31,3882,1800.0,0.34,0.85,0.0,4.0,24,24.0,5
32,32,2799,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
33,33,1069,1800.0,0.29,0.725,0.0,4.0,24,24.0,5
34,34,2165,1800.0,0.21,0.525,0.0,4.0,24,24.0,5
35,35,2982,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
36,36,2981,1800.0,0.1,0.25,0.0,4.0,24,24.0,5
37,37,2978,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
38,38,3174,1800.0,0.2,0.5,0.0,4.0,24,24.0,5
39,39,2852,1800.0,0.28,0.7,0.0,4.0,24,24.0,5
40,40,2180,1800.0,0.22,0.55,0.0,4.0,24,24.0,5
41,41,1891,1800.0,0.31,0.775,0.0,4.0,24,24.0,5
42,42,3202,1800.0,0.32,0.8,0.0,4.0,24,24.0,5
43,43,1968,1800.0,0.23,0.575,0.0,4.0,24,24.0,5
44,44,2531,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
45,45,2816,1800.0,0.35,0.875,0.0,4.0,24,24.0,5
46,46,1978,1800.0,0.4,1.0,0.0,4.0,24,24.0,5
47,47,3292,1800.0,1.33,3.325,0.0,4.0,24,24.0,5
48,48,3293,1800.0,0.62,1.55,0.0,4.0,24,24.0,5
49,49,3409,1800.0,0.66,1.65,0.0,4.0,24,24.0,5
50,50,2191,1800.0,0.16,0.4,0.0,4.0,24,24.0,5
51,51,3235,1800.0,0.31,0.775,0.0,4.0,24,24.0,5
52,52,3233,1800.0,0.32,0.8,0.0,4.0,24,24.0,5
53,53,3234,1800.0,0.32,0.8,0.0,4.0,24,24.0,5
54,54,1349,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
55,55,2756,1800.0,0.26,0.65,0.0,4.0,24,24.0,5
56,56,2194,1800.0,0.18,0.45,0.0,4.0,24,24.0,5
57,57,3171,1800.0,0.19,0.475,0.0,4.0,24,24.0,5
58,58,2595,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
59,59,2186,1800.0,0.11,0.275,0.0,4.0,24,24.0,5
60,60,2755,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
61,61,2185,1800.0,0.36,0.9,0.0,4.0,24,24.0,5
62,62,2860,1800.0,0.15,0.375,0.0,4.0,24,24.0,5
63,63,2555,1800.0,0.12,0.3,0.0,4.0,24,24.0,5
64,64,3356,1800.0,0.27,0.675,0.0,4.0,24,24.0,5
